4888456622809062314	75.231.116.62
-1385217634135546488	211.61.137.3
-3521209468506199669	4.13.186.223
4640682202031155991	107.168.72.56
-2098665126231619569	102.188.223.38
9192521265306849246	61.160.89.62
-2723013266576679474	114.106.45.71
-6814461010558662967	60.43.118.92
-533342225283745873	96.64.241.156
-7219030113980117388	6.207.94.225
-6124327207679313045	61.75.26.68
4596635809354383891	177.162.30.243
1961412253119510777	92.173.0.104
3166529820254417422	39.104.13.190
-4541595373498525908	60.43.118.87
4662676741400454398	92.173.0.134
7562839737164803266	251.90.230.240
9197215482924067546	51.170.0.187
6446707618876313933	80.37.61.131
1733174965167816912	156.115.65.126
533468619788905754	116.1.109.207
2383315683630167708	107.168.71.251
1764942755464913004	248.125.209.163
-2379904667247827985	152.220.133.218
-2690444026697990779	33.227.105.219
5776454480881004510	18.140.239.126
9072361394501345480	112.233.100.222
1443636433571062979	49.93.243.135
8843250896188727808	66.183.162.72
885847253583307100	40.247.225.184
4377566257710048656	87.253.173.186
6180558606274956808	142.164.97.229
2623580454158652386	92.113.222.140
8407203026711202786	46.68.217.153
8113228714926576566	6.207.95.22
-133344388411763057	114.106.45.78
7015478291528357463	58.45.62.142
6940373031517259467	65.139.96.37
2711913288894139756	91.243.222.96
-2115487764343750343	18.99.19.194
-4115153454172718272	67.128.80.86
-7278117870257772171	58.45.62.109
1155698552131306815	183.202.89.229
8752937774431193090	86.140.84.165
-3133130091242302704	122.13.194.129
-2191705353742517545	92.113.222.133
6896358832641513068	170.118.147.254
5153058778261164017	255.241.65.236
2494224995630012759	195.194.56.78
2558101389253473185	43.245.66.8
-8905014608214882263	108.251.183.191
-4008907246697219782	215.27.23.245
-870597806502158178	192.38.142.60
7763770747731110911	145.43.92.5
-7223956106668143115	14.107.236.211
-923045687416789412	101.115.135.249
-8634163822739642607	31.27.133.22
4669936081782237131	34.200.176.5
-219073720445563903	138.102.133.170
4630935283460648296	40.247.225.202
-5294510070414889203	86.56.175.134
3190656142426787826	61.8.170.65
2800113691103719389	63.246.86.105
-3642721766041130940	102.220.238.238
897039213881695794	228.64.163.35
-9131790657910141260	132.145.138.50
-8957176798401962641	131.64.26.226
5271363119778742977	4.13.187.70
982383631678854929	101.203.61.189
-6567741845195294193	107.211.53.243
-1014090954426927853	4.157.249.57
8592408632117837541	72.197.109.31
-6618942764028221642	150.136.0.5
2597292170369605375	61.160.89.53
-3937818270586363121	124.86.122.172
3412178939614441844	92.98.78.90
-1952841520514684121	120.172.38.48
6450768645491576947	80.75.43.230
2252378958107178634	161.11.97.37
290180129583018908	118.219.230.125
5277485170169171941	129.72.97.129
5381632888696199626	118.219.230.124
-6231771018772562637	91.243.222.115
8345032414403296266	7.99.210.75
-6479689585621743106	10.9.152.57
2610785094287175053	112.26.84.120
-1148914510221963178	174.110.254.171
443069186339714982	83.140.196.163
8211795919766378631	110.63.146.117
-1556947684655150924	241.157.55.166
-3528457929584637842	80.167.54.165
3649942348597860800	14.56.129.4
-1434372178775541823	67.75.129.99
-7763303077041523336	81.151.20.131
5863059393233497480	107.168.71.254
-4164135759929012271	63.246.86.120
7744669941719171801	232.43.29.131
6864871541401999557	58.45.62.131
-6477889650133190215	65.139.95.239
-1820843531993559643	95.105.126.131
-187362722094294443	60.43.118.89
-5339742074947939338	67.75.129.206
3821610808920254266	119.74.15.69
-2280988893197738539	33.227.105.190
-1689154663960139001	95.105.126.43
-4950547045716016868	60.249.71.55
1627854476487393817	34.200.176.6
-5715906992472728407	203.148.243.170
4249864805877546118	147.244.174.32
-177300704837513736	120.203.120.83
1085400063699781416	160.30.137.58
8458821901165465945	223.171.198.136
-3934678798493148584	27.147.233.144
-5588481057555949987	192.30.128.75
2136961333919119927	244.58.43.247
-8500678507176627976	68.45.240.222
-5487719728749855012	31.27.132.133
8992382751406719460	138.120.173.102
6730132249475463254	88.94.218.71
6993618402234789071	27.147.234.46
-7713486291599443354	125.210.179.67
5577396761891042521	18.56.90.84
240787479923465792	180.48.71.108
-8375330091443832900	107.168.71.253
4435533040930973416	198.159.167.101
9147400766868905687	19.171.48.57
-5194441119382267812	52.129.3.129
1063109537879713948	53.53.88.32
295066850681481367	66.125.47.108
1530385594724272344	42.216.69.143
5039746416275519023	150.253.96.148
-9124243225607089341	143.188.148.247
-654040248324676209	101.115.135.230
90523457181299417	48.55.72.95
-2575260206039513392	172.58.239.150
-2793576285142540608	67.5.159.24
1594007181619566889	139.174.119.209
3497054810224402322	10.174.196.132
-3205857798249829361	65.139.96.45
640916117935233963	91.87.6.55
2507276790675772447	86.56.175.66
8060469210609308571	45.209.70.10
4568888099303096738	86.56.175.122
-4677948895039228633	230.17.93.49
1146734713763621771	58.7.87.17
-4771568034929139598	58.129.236.194
-1248378518934879525	152.29.185.175
8135047418231274359	50.149.195.12
814725185429557713	100.242.5.204
5455786440235013840	10.174.196.3
-8337206681583116872	194.2.209.204
-1548898908883341677	41.189.219.182
-5164038765662306451	99.17.48.188
